ATEmployee,Job,YearsOfExperience,Specialization,FirstName,LastName,A.F.M.,PhoneNumber,Address,Email
YT487234,Animal Trainer,15,GuideDogs,Anty,Smith,564349582,6943375733,Olympoy 1,perieyn@windowslive.com
MN569167,Cleaner,12,OdorsDisappear,Derek,Walker,859765837,6957765728,Katerian 45,geogr_yo@yahoo.com
PP658023,Caretaker,7,PetGroomer,Max,Jerenal,938626784,6971365325,Saint Marin 13,tifozi@gmail.com
OK563292,Caretaker,6,Vaccines/euthanize,Nick,Drinkwater,345467998,6978512151,Manhatan 285,osterl@windowslive.com
EY093712,Animal Trainer,20,MarineMammals,Mike,Alan,564546202,6932300585,Bronx 114,krikri@yahoo.com
IO822544,Animal Trainer,25,AnimalBehavioral,Alex,Clifford,258969841,6977833545,Malakasa 23,kones@hotmail.com
OE562829,Cleaner,10,OdorsDisappear,Ivan,Crouz,343147890,6977866396,Latern 7,crazer@gmail.com
IA828492,Animal Trainer,13,AnimalBehavioral,John,Savatzer,214595763,6977477511,Ontarel 80,righthat@yahoo.com
TO222938,Caretaker,8,Exercise,George,Octapus,785455112,6973351245,Peramor 11,killahPir@gmail.com
PH564238,Caretaker,3,Training,George,Fanoler,778400495,6962282154,Gaziella 81,sol_pason@gmail.com
IA784323,Animal Trainer,30,Veterinarian,Dan,Notariem,977834251,6934382145,Heraklus 83,leoforos13@windowslive.com
EI387715,Caretaker,5,Training,Jack,Daniel,546867217,6954283751,Estrella 7,ken_biral@gmail.com
NO582814,Cleaner,11,OdorsDisappear,Pat,Patanakis,852301471,6983172319,Montreal 1,canastel@gmail.com
KI946839,Caretaker,14,Veterinarian,Jeremy,Walker,589965256,6956196384,Onirtha 6,everythingisnotok@gmail.com
