ATOwner,Visits,FirstName,LastName,AFM,PhoneNumber,Address,Email
TY487240,2,Nick,Greaker,564729582,6943375732,Olympoy 19,perMan@windowslive.com
NM569123,13,George,Geran,859305837,6954765728,Katerian 43,geor_anty@yahoo.com
EP658023,1,Dan,Smoth,938625024,6973365325,Saint Marin 23,papifi@gmail.com
HK473292,1,Eric,Smith,345486998,6978512141,Manhatan 2,boriza_kratos@windowslive.com
YE093212,6,John,Staham,564839202,6932325585,Bronx 115,praktor@yahoo.com
OI392544,7,Mike,Konak,258963741,6977845545,Malakasa 33,konaki_koupes@hotmail.com
KE563829,1,Dani,Alves,343567890,6977852396,Latern 72,crazy_player@gmail.com
OA628492,1,Nick,Cave,214578963,6977454511,Ontarel 8,right_red_hat@yahoo.com
TI102938,3,Rambo,Stallone,787845112,6978451245,Peramor 112,killer@gmail.com
PO564738,16,Jennaro,Gattuso,778452895,6965782154,Gaziella 65,solo_passion@gmail.com
HA784523,8,Eki,Gonzales,977841451,6932782145,Heraklus 81,leoforos@windowslive.com
PI384715,10,Ken,Barbos,548963217,6953483751,Estrella 57,ken_barbie@gmail.com
HO542814,1,Mike,Cohones,852369471,6981572319,Montreal 8,canada_rules@gmail.com
HI941839,4,Alex,Katralex,589128256,6979196384,Onirtha 69,everything@gmail.com
